difficulty,length,name,rating,type1,type2,sales
3.1,47.11,Mass Effect 2,4.47,role-playing,None,1000
3.18,29.04,Castlevania: Symphony of the Night,4.45,action,None,1000
3.19,43.81,The Orange Box,4.43,miscellaneous,None,1000
3.16,28.07,Batman: Arkham City,4.42,action,adventure,1000
3.19,18.74,Portal 2,4.41,action,None,1000
3.07,71.08,Tales of Vesperia,4.41,role-playing,None,1000
3.08,79.12,The Elder Scrolls IV: Oblivion - Game of the Year Edition,4.41,role-playing,None,1000
3.09,73.72,Fallout 3: Game of the Year Edition,4.4,role-playing,None,1000
3.07,48.32,Red Dead Redemption: Game of the Year Edition,4.39,action,adventure,200
3.04,43.43,Red Dead Redemption,4.39,action,adventure,1000
3.28,25.19,Resident Evil 4 HD,4.39,action,adventure,500
2.98,79.99,The Elder Scrolls V: Skyrim,4.39,role-playing,None,1000
3.37,49.0,Metal Gear Solid HD Collection,4.39,miscellaneous,None,500
3.2,12.18,Portal: Still Alive,4.38,action,None,500
3.09,77.72,Mass Effect Trilogy,4.38,miscellaneous,None,100
3.18,76.42,Fallout: New Vegas - Ultimate Edition,4.38,role-playing,None,500
3.11,67.49,Fallout 3,4.38,role-playing,None,1000
2.98,18.28,Banjo-Kazooie,4.38,action,None,500
3.12,24.16,Batman: Arkham Asylum,4.37,action,adventure,1000
4.34,72.27,Dark Souls II,4.36,role-playing,None,1000
4.3,70.45,Dark Souls,4.35,role-playing,None,1000
3.13,50.82,Rock Band 2,4.35,action,None,1000
3.14,22.59,BioShock,4.35,action,None,1000
3.22,63.06,Dragon Age: Origins - Ultimate Edition,4.34,miscellaneous,None,200
2.18,2.81,The Walking Dead: Episode 5 - No Time Left,4.34,adventure,None,100
3.04,75.75,The Elder Scrolls IV: Oblivion,4.34,role-playing,None,1000
3.55,69.5,Dragon's Dogma: Dark Arisen,4.34,role-playing,None,500
3.12,27.32,Call of Duty 4: Modern Warfare,4.33,action,None,1000
3.08,47.07,Mass Effect,4.32,role-playing,None,1000
2.89,55.86,Grand Theft Auto V,4.32,action,adventure,1000
2.36,3.39,The Walking Dead: Episode 2 - Starved for Help,4.3,adventure,None,100
3.26,54.99,Borderlands 2,4.3,action,None,1000
3.02,63.83,Forza Motorsport 4,4.3,racing,None,500
3.17,26.55,Banjo-Tooie,4.29,action,None,200
3.29,63.81,Dragon's Dogma,4.29,role-playing,None,1000
3.06,73.65,Diablo III: Ultimate Evil Edition,4.28,role-playing,None,200
3.88,49.25,XCOM: Enemy Within,4.28,strategy,None,100
3.26,53.14,Borderlands: Game of the Year Edition,4.28,action,None,200
3.17,15.24,Rez HD,4.28,action,None,100
3.18,53.68,Rock Band 3,4.28,action,None,500
4.16,67.53,Dark Souls II: Scholar of the First Sin,4.28,role-playing,None,100
2.21,3.17,The Walking Dead: Episode 4 - Around Every Corner,4.27,adventure,None,100
3.04,22.51,Rayman Legends,4.27,action,None,100
2.92,31.84,Assassin's Creed II,4.26,action,adventure,1000
3.73,22.97,Street Fighter III: Third Strike Online Edition,4.26,action,None,200
3.32,20.54,Dead Space,4.25,action,None,1000
3.34,13.79,Guardian Heroes,4.25,role-playing,None,200
2.98,13.92,Shadow Complex,4.25,action,None,500
3.68,16.8,DOOM II,4.25,action,None,200
3.09,21.34,Castle Crashers,4.25,action,None,1000
4.21,21.33,Mushihimesama Futari Ver 1.5,4.24,action,None,100
3.06,41.31,Rock Band,4.23,action,None,1000
3.26,55.82,Dragon Age: Origins,4.23,role-playing,None,1000
3.12,68.15,Fallout: New Vegas,4.23,role-playing,None,1000
2.71,64.72,Minecraft: Xbox 360 Edition,4.23,action,adventure,1000
2.89,52.61,Warriors Orochi 2,4.08,action,None,200
3.72,24.1,The King of Fighters XIII,4.08,action,None,100
3.19,28.41,Dead Rising 2: Off the Record,4.08,action,adventure,200
3.83,11.03,Deathsmiles,4.01,action,None,200
3.17,13.33,Half-Minute Hero: Super Mega Neo Climax,4.0,role-playing,None,100
2.97,28.81,L.A. Noire,4.0,action,adventure,1000
2.47,3.47,The Wolf Among Us: Episode 1 - Faith,4.15,adventure,None,100
3.01,48.85,Grand Theft Auto: San Andreas,4.15,action,adventure,200
3.89,38.28,XCOM: Enemy Unknown,4.15,strategy,None,200
2.87,19.56,Dust: An Elysian Tail,4.14,action,None,200
3.06,52.57,Diablo III,4.14,role-playing,None,500
3.26,23.76,Left 4 Dead,4.14,action,None,1000
3.35,20.62,Dead Space 2,4.23,action,None,1000
2.39,16.07,The Walking Dead: A Telltale Games Series,4.23,adventure,None,200
3.65,25.75,Bayonetta,4.22,action,adventure,1000
2.26,3.19,The Walking Dead: Episode 3 - Long Road Ahead,4.22,adventure,None,100
3.07,45.58,Grand Theft Auto IV,4.22,action,adventure,1000
2.95,46.1,Warriors Orochi 3,4.22,action,None,200
2.65,21.25,South Park: The Stick of Truth,4.21,role-playing,None,500
3.22,22.35,Gears of War 3,4.21,action,None,1000
2.99,12.08,Pac-Man Championship Edition DX,4.21,action,None,100
3.08,21.15,BioShock Infinite,4.21,action,None,1000
3.35,27.23,Perfect Dark,4.2,action,None,500
3.34,28.11,Jet Set Radio,4.07,action,None,100
3.09,26.62,Resident Evil 5,4.07,action,adventure,1000
3.35,35.32,Tekken Tag Tournament 2,4.07,action,None,200
3.43,48.7,Castlevania: Harmony of Despair,4.07,action,adventure,500
3.05,9.54,Sonic &amp; Knuckles,4.07,action,None,200
3.5,11.61,Super Street Fighter II Turbo HD Remix,4.06,action,None,200
3.28,20.89,Gears of War,4.06,action,None,1000
3.14,6.68,Disney DuckTales: Remastered,4.06,action,None,100
2.78,34.34,Saints Row: The Third,4.0,action,adventure,1000
3.68,11.09,Bionic Commando: Rearmed,4.0,action,None,200
2.7,34.27,Saints Row IV,4.0,action,adventure,500
3.17,7.7,Pac-Man Championship Edition,4.0,action,None,200
3.03,20.84,Star Wars: The Force Unleashed - Ultimate Sith Edition,4.0,miscellaneous,None,100
2.88,15.56,Beyond Good &amp; Evil HD,3.99,action,adventure,200
3.24,26.34,SoulCalibur IV,3.99,action,None,1000
3.39,30.83,Sonic &amp; All-Stars Racing Transformed,3.99,racing,None,200
3.2,30.0,Puzzle Quest: Challenge of the Warlords,3.99,puzzle,None,200
3.97,25.13,Trials Evolution,4.14,racing,None,200
3.02,53.76,Dynasty Warriors: Gundam 3,4.14,action,None,200
3.32,57.08,Ultra Street Fighter IV,4.14,action,None,100
3.07,9.19,Monkey Island 2 Special Edition: LeChuck's Revenge,4.14,adventure,None,100
3.02,20.92,Transformers: Fall of Cybertron,4.14,action,None,200
2.92,10.61,Sonic the Hedgehog 3,4.14,action,None,200
3.13,58.11,NBA 2K11,4.14,sports,None,200
3.43,28.31,Super Street Fighter IV,4.14,action,None,500
3.03,32.63,Sonic Adventure 2,4.14,action,None,200
3.76,47.05,Devil May Cry HD Collection,4.2,miscellaneous,None,200
1.91,14.22,The Walking Dead: Season Two - A Telltale Games Series,4.2,adventure,None,100
4.56,25.93,Super Meat Boy,4.2,action,None,200
2.93,21.61,Tomb Raider,4.19,action,adventure,500
2.96,32.14,Assassin's Creed: Brotherhood,4.19,action,adventure,1000
2.93,12.98,Bastion,4.19,role-playing,None,200
3.06,35.38,Far Cry 3,4.19,action,None,1000
3.13,48.85,Borderlands,4.19,action,None,1000
3.51,25.08,Street Fighter IV,4.06,action,None,1000
3.69,19.13,Resident Evil Code: Veronica X HD,4.06,action,adventure,100
3.5,18.32,Duke Nukem 3D,4.06,action,None,200
2.93,27.82,Sleeping Dogs,4.06,action,adventure,500
2.99,39.82,NHL 10,4.06,sports,None,200
3.05,51.84,Dynasty Warriors: Gundam 2,4.05,action,None,200
2.82,55.18,Dynasty Warriors 8,4.05,action,None,100
3.41,10.96,Streets of Rage 2,4.05,action,None,100
3.39,25.41,Hitman: Blood Money,4.05,action,adventure,200
2.93,12.06,Cthulhu Saves the World,4.05,role-playing,None,100
2.52,36.14,LEGO Marvel Super Heroes,4.05,action,adventure,200
2.79,27.12,Torchlight,3.99,role-playing,None,200
3.55,18.03,Marvel vs. Capcom 2,3.99,action,None,200
3.3,23.73,BattleBlock Theater,3.99,action,None,200
3.02,41.91,NBA 2K9,3.98,sports,None,200
2.99,41.41,Skate 3,3.98,sports,None,500
2.9,13.02,DeathSpank,3.98,role-playing,None,100
3.17,22.78,Halo 4,3.98,action,None,1000
3.35,24.73,Dead or Alive 5,3.98,action,None,200
3.97,11.59,Mega Man 9,4.13,action,None,200
2.92,19.26,Sonic Generations,4.13,action,None,1000
3.04,32.64,Grand Theft Auto: Episodes from Liberty City,4.13,miscellaneous,None,500
3.33,13.0,Mark of the Ninja,4.13,action,None,100
3.01,33.78,Naruto Shippuden: Ultimate Ninja Storm 3,4.12,action,None,200
3.04,35.83,Dragon Ball Z Budokai HD Collection,4.12,miscellaneous,None,100
3.48,26.24,BlazBlue: Continuum Shift,4.12,action,None,200
3.59,25.04,Mortal Kombat,4.19,action,None,1000
2.95,40.35,Saints Row 2,4.19,action,adventure,1000
3.19,22.78,Gears of War 2,4.18,action,None,1000
3.06,43.68,Far Cry 4,4.18,action,None,200
3.03,32.26,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,4.18,role-playing,None,100
3.31,39.58,State of Decay,4.04,action,adventure,500
3.76,33.24,Armored Core: For Answer,4.04,simulation,None,200
3.37,30.51,GRID,4.04,racing,None,200
3.28,47.18,Metal Gear Solid: Peace Walker HD Edition,4.04,action,adventure,100
3.62,39.62,The Witcher 2: Assassins of Kings,4.04,role-playing,None,500
2.53,50.74,NCAA Football 09,4.04,sports,None,200
3.06,50.89,NBA 2K13,4.04,sports,None,200
3.09,38.75,Sid Meier's Civilization Revolution,4.04,strategy,None,500
3.3,25.57,Tom Clancy's Rainbow Six Vegas 2,4.03,action,None,1000
4.03,23.73,Alien: Isolation,3.97,action,adventure,100
3.02,55.96,FIFA Soccer 12,3.97,sports,None,200
3.1,22.7,Magic: The Gathering - Duels of the Planeswalkers 2012,3.97,strategy,None,100
3.18,37.69,Dance Central 2,3.97,action,None,100
2.95,16.58,Ghostbusters: The Video Game,3.97,action,None,500
3.07,18.39,Alan Wake,3.97,action,adventure,1000
2.71,60.06,Kingdoms of Amalur: Reckoning,3.97,role-playing,None,1000
3.57,47.44,Dragon Ball: Xenoverse,4.12,action,None,200
3.25,52.4,Sonic's Ultimate Genesis Collection,4.18,miscellaneous,None,500
3.72,15.7,Geometry Wars: Retro Evolved 2,4.18,action,None,200
3.77,67.9,Earth Defense Force 2025,4.18,action,None,100
3.25,31.3,Gears of War 2: Game of the Year Edition,4.18,miscellaneous,None,100
3.09,21.63,BioShock 2,4.03,action,None,1000
3.13,32.11,Skate 2,4.03,sports,None,500
3.26,18.33,Hydro Thunder Hurricane,4.03,racing,None,100
3.04,30.76,Call of Duty: Modern Warfare 2,4.03,action,None,1000
2.8,45.83,FIFA Soccer 09,3.96,sports,None,200
3.23,35.87,Dead or Alive 5 Ultimate,4.12,action,None,100
3.54,16.63,DOOM,4.12,action,None,500
3.24,64.3,Terraria,4.18,action,adventure,500
2.86,25.16,The Beatles: Rock Band,4.18,action,None,200
3.12,7.33,Sonic the Hedgehog (Live Arcade),4.02,action,None,200
3.27,27.25,Guitar Hero II,3.96,action,None,1000
3.0,22.05,Battlefield: Bad Company,3.96,action,None,1000
3.46,24.47,Mortal Kombat Komplete Edition,4.12,action,None,100
3.58,36.47,BlazBlue: Continuum Shift Extend,4.12,action,None,100
2.81,37.05,NHL 09,4.12,sports,None,200
2.73,44.71,Dynasty Warriors 7,4.11,action,None,200
3.34,15.5,Scott Pilgrim vs. the World: The Game,4.11,action,None,200
3.2,24.23,Red Dead Redemption: Undead Nightmare,4.11,miscellaneous,None,200
2.87,29.93,Naruto Shippuden: Ultimate Ninja Storm 2,4.1,action,None,500
3.12,51.84,Grand Theft Auto IV: The Complete Edition,4.18,action,adventure,200
3.18,28.54,Halo: Reach,4.18,action,None,1000
2.96,43.74,Assassin's Creed IV: Black Flag,4.17,action,adventure,1000
3.3,22.02,Rayman Origins,4.17,action,None,200
3.62,10.63,Braid,4.17,action,None,500
3.32,30.55,Virtua Fighter 5 Online,4.02,action,None,200
3.61,50.12,Rocksmith,4.02,action,None,100
3.0,23.99,Deadly Premonition,4.02,action,adventure,200
