difficulty,length,name,platform,rating,sales,type1,type2
3.14,49.93,Yakuza Kiwami,ps4,4.07,500,action,adventure
3.16,45.52,Dying Light,ps4,4.0,500,action,adventure
3.0,14.3,PixelJunk Shooter Ultimate,ps4,3.47,100,action,None
3.96,16.18,TowerFall Ascension,ps4,3.6,100,action,None
2.81,75.45,Atelier Lydie &amp; Suelle: The Alchemists and the Mysterious Paintings,ps4,3.9,100,role-playing,None
3.96,31.67,Trials Fusion,ps4,3.55,200,racing,None
2.77,60.23,Destiny 2,ps4,3.4,1000,action,None
3.1,25.89,Darksiders: Warmastered Edition,ps4,3.96,100,action,adventure
3.02,76.94,Yakuza: Like a Dragon,ps4,4.27,200,role-playing,None
2.77,63.75,Fallout 76,ps4,2.29,200,role-playing,None
2.85,64.14,Mass Effect: Andromeda,ps4,3.23,1000,role-playing,None
2.45,31.9,LEGO Star Wars: The Force Awakens,ps4,3.98,200,action,adventure
2.94,75.74,Assassin's Creed: The Ezio Collection,ps4,4.11,100,miscellaneous,None
3.15,11.87,Until Dawn: Rush of Blood,ps4,3.8,100,action,None
3.17,52.47,The King of Fighters XIV,ps4,4.15,200,action,None
2.91,80.0,Dragon Quest XI: Echoes of an Elusive Age,ps4,4.33,1000,role-playing,None
3.89,25.29,Alien: Isolation,ps4,4.02,500,action,adventure
3.25,63.88,PlanetSide 2,ps4,3.6,100,action,None
2.9,18.68,A Hat in Time,ps4,4.05,100,action,None
3.08,80.0,Disgaea 5: Alliance of Vengeance,ps4,4.33,1000,strategy,None
2.97,76.45,Digimon Story Cyber Sleuth: Hacker's Memory,ps4,4.08,200,role-playing,None
2.51,65.27,The Sims 4,ps4,3.45,100,simulation,None
2.95,67.65,Fairy Fencer F: Advent Dark Force,ps4,3.95,200,role-playing,None
3.12,25.8,Resident Evil 4,ps4,4.3,200,action,adventure
3.11,80.0,The Witcher 3: Wild Hunt - Complete Edition,ps4,4.32,500,role-playing,None
2.61,40.34,13 Sentinels: Aegis Rim,ps4,4.29,200,adventure,None
2.8,17.34,Child of Light,ps4,4.01,200,role-playing,None
3.08,66.49,Fist of the North Star: Lost Paradise,ps4,3.99,200,role-playing,None
2.79,42.54,Nights of Azure,ps4,3.69,200,role-playing,None
2.9,47.19,BlazBlue: Cross Tag Battle,ps4,3.72,100,action,None
2.96,44.37,Dead or Alive 6,ps4,3.56,200,action,None
2.95,72.35,Dynasty Warriors 8: Xtreme Legends Complete Edition,ps4,4.12,200,action,None
3.13,24.85,The Evil Within 2,ps4,3.96,200,action,adventure
2.94,38.05,Burnout Paradise Remastered,ps4,3.92,100,racing,None
3.0,36.97,Call of Duty: Modern Warfare,ps4,3.25,200,action,None
2.89,64.56,Final Fantasy VIII Remastered,ps4,4.2,200,role-playing,None
3.78,55.1,War Thunder,ps4,3.35,100,simulation,None
3.04,66.06,Omega Quintet,ps4,3.75,200,role-playing,None
3.33,21.61,Gauntlet: Slayer Edition,ps4,3.5,100,role-playing,None
3.16,64.35,Dragon's Crown Pro,ps4,4.12,100,role-playing,None
3.12,36.22,Hitman,ps4,3.87,200,action,adventure
2.88,36.3,Naruto Shippuden: Ultimate Ninja Storm 4,ps4,3.98,500,action,None
3.67,11.85,Mega Man 11,ps4,4.08,200,action,None
3.36,42.69,Alienation,ps4,3.85,100,action,None
2.81,55.07,Atelier Ryza: Ever Darkness &amp; the Secret Hideout,ps4,3.95,100,role-playing,None
2.91,80.0,The Elder Scrolls V: Skyrim Special Edition,ps4,4.29,1000,role-playing,None
3.34,80.0,Monster Hunter: World,ps4,4.29,1000,role-playing,None
2.69,31.19,Anthem,ps4,2.55,200,role-playing,None
3.5,43.6,Driveclub,ps4,3.43,500,racing,None
2.72,80.0,Stardew Valley,ps4,4.28,200,role-playing,None
2.91,58.06,WWE 2K18,ps4,3.39,200,sports,None
3.9,37.97,Crash Bandicoot N. Sane Trilogy,ps4,4.1,500,miscellaneous,None
3.76,17.0,Mighty No. 9,ps4,2.91,200,action,None
3.85,35.16,Salt and Sanctuary,ps4,4.17,200,action,None
3.15,55.52,Dark Cloud,ps4,4.0,200,role-playing,None
3.35,47.52,Guilty Gear Xrd -REVELATOR-,ps4,4.21,200,action,None
3.11,53.06,Final Fantasy VII Remake,ps4,4.16,1000,role-playing,None
3.01,74.55,Diablo III: Ultimate Evil Edition,ps4,4.27,1000,role-playing,None
2.98,34.32,J-Stars Victory Vs+,ps4,3.55,200,action,None
3.26,10.98,Outlast 2,ps4,3.31,100,action,adventure
3.01,40.32,Battlefield V,ps4,2.76,200,action,None
2.89,48.76,Star Ocean: Integrity and Faithlessness,ps4,3.43,500,role-playing,None
2.85,68.31,Cyberpunk 2077,ps4,2.92,500,role-playing,None
3.08,32.2,Need for Speed: Rivals,ps4,3.51,200,racing,None
2.03,8.47,A Way Out,ps4,3.69,100,action,adventure
3.86,16.36,Hyper Light Drifter,ps4,3.94,100,role-playing,None
3.96,42.92,The Surge,ps4,3.53,100,role-playing,None
2.95,74.44,Tales of Berseria,ps4,4.17,1000,role-playing,None
3.18,34.44,Vampyr,ps4,3.49,200,role-playing,None
2.85,62.95,Samurai Warriors 4-II,ps4,3.98,100,action,None
2.74,79.91,.hack//G.U. Last Recode,ps4,4.16,200,miscellaneous,None
3.28,49.78,Dying Light: The Following - Enhanced Edition,ps4,4.03,100,action,adventure
2.97,26.34,Blacklight: Retribution,ps4,2.83,200,action,None
3.34,63.92,Apex Legends,ps4,3.59,200,action,None
3.41,75.08,Star Ocean 3: Till the End of Time,ps4,4.18,100,role-playing,None
2.92,80.0,Fallout 4: Game of the Year Edition,ps4,3.81,100,role-playing,None
3.02,80.0,Mass Effect Legendary Edition,ps4,4.32,200,miscellaneous,None
2.97,37.87,Assassin's Creed Unity,ps4,3.28,1000,action,adventure
2.65,72.08,Dynasty Warriors 9,ps4,3.19,200,action,None
3.45,14.47,Shovel Knight,ps4,4.16,200,action,None
2.84,25.74,Danganronpa Another Episode: Ultra Despair Girls,ps4,3.94,100,action,adventure
2.88,63.44,Dragon Quest Builders,ps4,4.16,200,action,adventure
3.48,77.58,Earth Defense Force 4.1: The Shadow of New Despair,ps4,4.09,100,action,None
2.9,62.53,FIFA 16,ps4,3.54,200,sports,None
2.95,42.23,Just Cause 3,ps4,3.52,500,action,adventure
3.26,28.92,The Last of Us Remastered,ps4,4.38,1000,action,adventure
2.91,28.76,Shadow of the Tomb Raider,ps4,3.7,200,action,adventure
3.04,38.8,Batman: Arkham Knight,ps4,4.06,1000,action,adventure
3.13,22.53,Sniper Elite III,ps4,3.57,100,action,None
1.3,3.61,ABZU,ps4,3.62,200,adventure,None
3.91,42.31,Don't Starve: Console Edition,ps4,3.59,200,action,adventure
2.99,30.12,Akiba's Trip: Undead &amp; Undressed,ps4,3.75,200,action,adventure
4.35,68.08,The Binding of Isaac: Rebirth,ps4,4.09,200,action,None
3.05,39.95,Need for Speed Payback,ps4,3.33,100,racing,None
3.1,49.13,Mortal Kombat 11,ps4,3.51,500,action,None
3.16,26.19,Metro Exodus,ps4,3.58,100,action,None
1.27,3.19,What Remains of Edith Finch,ps4,3.94,200,adventure,None
3.1,60.38,NBA 2K16,ps4,3.66,200,sports,None
3.26,57.53,NieR: Automata - Game of the YoRHa Edition,ps4,4.3,100,role-playing,None
3.0,59.42,God Eater 3,ps4,3.73,100,role-playing,None
2.82,80.0,Genshin Impact,ps4,3.64,500,role-playing,None
4.0,60.88,Dark Souls Remastered,ps4,4.31,500,role-playing,None
2.19,6.29,Contrast,ps4,3.11,200,puzzle,None
2.95,62.03,Borderlands: Game of the Year Edition,ps4,4.11,100,action,None
2.94,80.0,SD Gundam G Generation Genesis,ps4,4.29,100,strategy,None
2.89,30.42,Battlefield Hardline,ps4,3.32,200,action,None
3.78,17.05,Zombi,ps4,3.11,100,action,adventure
2.82,46.1,Danganronpa V3: Killing Harmony,ps4,3.81,200,adventure,None
2.75,29.68,Agents of Mayhem,ps4,3.18,100,action,adventure
3.32,35.96,Castlevania Requiem: Symphony of the Night &amp; Rondo of Blood,ps4,4.23,200,miscellaneous,None
2.49,9.26,RiME,ps4,3.69,100,adventure,None
3.11,19.11,Wolfenstein: The New Order,ps4,3.97,500,action,None
2.88,45.43,Assassin's Creed IV: Black Flag,ps4,4.05,1000,action,adventure
2.73,41.5,Senran Kagura: Estival Versus,ps4,3.96,500,action,None
2.59,17.62,The Amazing Spider-Man 2,ps4,3.02,100,action,adventure
2.76,10.39,inFamous: First Light,ps4,3.65,500,action,adventure
3.01,80.0,Assassin's Creed Valhalla,ps4,3.63,200,action,adventure
2.93,45.27,Assassin's Creed III Remastered,ps4,3.5,100,action,adventure
2.87,52.48,Plants vs Zombies: Garden Warfare 2,ps4,3.92,100,action,None
2.71,25.03,Bully,ps4,4.21,100,action,adventure
2.95,55.98,Yakuza Kiwami 2,ps4,4.28,200,action,adventure
2.67,51.68,Valkyria Revolution,ps4,3.08,100,role-playing,None
3.12,20.91,Transformers: Devastation,ps4,3.78,200,action,None
3.02,11.7,Broken Age,ps4,3.57,100,adventure,None
3.02,72.3,Toukiden: Kiwami,ps4,4.1,200,action,None
2.83,29.49,Jump Force,ps4,2.82,200,action,None
3.28,40.53,Grand Theft Auto: Vice City,ps4,4.11,100,action,adventure
3.31,25.32,Sniper Elite 4,ps4,3.69,100,action,None
2.94,40.98,Far Cry 4,ps4,3.9,1000,action,None
3.11,13.88,Transistor,ps4,3.88,200,role-playing,None
1.58,14.1,The Walking Dead: Season Two - A Telltale Games Series,ps4,4.02,200,adventure,None
3.87,49.49,Trackmania Turbo,ps4,3.47,100,racing,None
3.02,35.86,Darksiders II: Deathinitive Edition,ps4,3.75,200,action,adventure
3.95,73.5,ARK: Survival Evolved,ps4,3.7,100,action,adventure
2.92,49.86,Lost Sphear,ps4,3.55,100,role-playing,None
2.93,76.18,Digimon Story Cyber Sleuth,ps4,4.23,1000,role-playing,None
2.2,6.64,Stick it to the Man!,ps4,3.27,100,action,None
4.44,40.07,Crash Bandicoot 4: It's About Time,ps4,3.72,200,action,None
2.88,37.87,Star Wars Battlefront,ps4,3.23,1000,action,None
3.75,6.44,P.T.,ps4,3.98,500,action,adventure
3.07,77.46,Warframe,ps4,3.71,1000,action,None
3.04,67.69,Dragon Quest Heroes II,ps4,4.0,200,action,None
3.0,42.49,Gravity Rush 2,ps4,4.05,200,action,adventure
3.24,7.42,The Swapper,ps4,3.58,100,action,None
3.12,71.48,Star Ocean 4: The Last Hope - 4K &amp; Full HD Remaster,ps4,4.06,100,role-playing,None
3.77,71.47,Tom Clancy's Rainbow Six Siege,ps4,3.99,200,action,None
3.23,14.92,Guacamelee! Super Turbo Championship Edition,ps4,4.0,200,action,None
3.32,22.69,DOOM,ps4,4.17,1000,action,None
2.76,60.28,Death Stranding,ps4,3.82,500,action,adventure
2.86,58.17,Dragon Ball Z: Kakarot,ps4,3.92,200,role-playing,None
2.58,4.61,INSIDE,ps4,4.11,100,action,None
2.59,50.05,Kingdom Hearts III,ps4,3.93,1000,role-playing,None
2.96,36.14,Tekken 7,ps4,3.12,1000,action,None
2.72,37.22,L.A. Noire,ps4,3.91,100,action,adventure
2.67,63.48,Warriors Orochi 4,ps4,3.74,100,action,None
4.06,17.15,Hotline Miami 2: Wrong Number,ps4,3.96,100,action,adventure
1.7,6.06,flower,ps4,3.82,200,miscellaneous,None
3.02,66.21,Ys VIII: Lacrimosa of DANA,ps4,4.29,500,role-playing,None
3.0,71.28,Yakuza 0,ps4,4.37,1000,action,adventure
3.03,50.49,FIFA 14,ps4,3.71,200,sports,None
2.98,63.03,Destiny,ps4,3.63,1000,action,None
2.77,10.19,SteamWorld Dig,ps4,3.6,100,action,None
3.06,80.0,Final Fantasy X / X-2 HD Remaster,ps4,4.33,1000,miscellaneous,None
1.38,3.17,Gone Home: Console Edition,ps4,3.1,200,adventure,None
3.7,77.98,God Eater Resurrection,ps4,4.05,500,role-playing,None
2.22,33.41,LEGO Batman 3: Beyond Gotham,ps4,3.83,200,action,adventure
4.02,80.0,Nioh 2,ps4,4.18,200,role-playing,None
2.22,43.52,Blue Reflection,ps4,3.76,100,role-playing,None
1.59,12.12,Life is Strange: Before the Storm,ps4,3.82,200,action,adventure
3.93,62.62,Wipeout: Omega Collection,ps4,4.04,100,racing,None
3.13,55.13,Persona 5 Strikers,ps4,3.99,200,role-playing,None
2.74,35.65,WWE 2K15,ps4,3.26,200,sports,None
4.18,55.75,XCOM 2,ps4,4.01,200,strategy,None
2.86,9.76,Unravel,ps4,3.69,100,action,None
2.95,29.35,Samurai Shodown,ps4,4.03,100,action,None
2.71,43.72,Cyberdimension Neptunia: 4 Goddesses Online,ps4,3.8,100,role-playing,None
2.75,25.4,South Park: The Fractured But Whole,ps4,4.04,500,role-playing,None
3.23,46.43,Zero Escape: The Nonary Games,ps4,4.26,100,miscellaneous,None
2.97,64.09,Assassin's Creed Origins,ps4,4.01,500,action,adventure
3.0,59.96,Tom Clancy's Ghost Recon: Wildlands,ps4,3.75,200,action,adventure
3.0,70.42,Final Fantasy IX,ps4,4.31,200,role-playing,None
2.91,52.98,Death end re;Quest,ps4,3.95,100,role-playing,None
3.37,67.44,The Witch and the Hundred Knight: Revival Edition,ps4,3.89,100,role-playing,None
3.36,5.23,LIMBO,ps4,3.73,200,action,None
2.98,46.14,Marvel's Avengers,ps4,2.97,200,action,None
3.11,53.85,Hatsune Miku: Project Diva X,ps4,4.05,100,action,None
3.07,20.62,Trine 2: Complete Story,ps4,3.45,100,action,None
3.07,34.28,Deus Ex: Mankind Divided,ps4,3.91,500,action,adventure
4.29,40.32,Natural Doctrine,ps4,3.26,100,strategy,None
2.2,19.36,Tearaway Unfolded,ps4,3.72,100,action,None
3.08,40.6,Middle-earth: Shadow of Mordor - Game of the Year Edition,ps4,3.87,200,action,adventure
3.18,61.15,Tom Clancy's The Division 2,ps4,3.9,200,action,None
2.9,80.0,Neverwinter,ps4,3.67,200,role-playing,None
3.69,66.06,Mega Man X Legacy Collection 1 + 2,ps4,4.28,200,miscellaneous,None
3.07,15.18,Shadow of the Colossus,ps4,4.11,500,action,adventure
2.96,37.85,Far Cry Primal,ps4,3.72,200,action,None
2.99,78.59,The Elder Scrolls V: Skyrim VR,ps4,4.05,100,role-playing,None
3.36,20.04,Resident Evil HD Remaster,ps4,4.26,500,action,adventure
3.03,55.36,Sword Art Online: Fatal Bullet,ps4,3.9,200,action,None
3.24,77.34,Grand Theft Auto Online,ps4,4.01,500,action,adventure
3.3,12.6,Grim Fandango Remastered,ps4,3.85,200,adventure,None
2.48,33.36,LEGO Marvel's Avengers,ps4,3.86,100,action,adventure
3.22,34.27,EA Sports UFC,ps4,3.25,200,sports,None
2.64,15.37,Saints Row: Gat Out of Hell,ps4,3.23,100,action,adventure
3.13,31.71,Dishonored 2,ps4,4.03,200,action,adventure
3.15,13.52,Wolfenstein: The Old Blood,ps4,3.77,200,action,None
2.99,80.0,Assassin's Creed Odyssey,ps4,4.06,500,action,adventure
3.37,66.45,Conan Exiles,ps4,3.17,100,action,adventure
3.04,35.4,Street Fighter V: Arcade Edition,ps4,3.74,100,action,None
3.06,54.99,Days Gone,ps4,3.81,500,action,adventure
2.93,65.75,Danganronpa 1-2 Reload,ps4,4.27,100,miscellaneous,None
2.97,42.03,Far Cry 5,ps4,3.68,500,action,None
3.78,35.07,Dead Rising,ps4,4.0,100,action,adventure
2.76,20.21,Ratchet &amp; Clank,ps4,4.04,1000,action,None
3.1,45.45,Batman: Return to Arkham,ps4,4.26,200,miscellaneous,None
2.93,74.29,Red Dead Redemption 2,ps4,4.31,1000,action,adventure
2.34,35.8,Sakura Wars,ps4,3.92,100,action,None
2.21,32.26,LEGO Marvel Super Heroes,ps4,3.84,200,action,adventure
2.36,59.13,LEGO Dimensions,ps4,4.08,100,action,adventure
3.4,39.48,Metal Gear Survive,ps4,2.44,100,action,adventure
2.95,32.12,Rise of the Tomb Raider: 20 Year Celebration,ps4,4.06,200,action,adventure
1.37,11.06,The Walking Dead: The Telltale Series - A New Frontier,ps4,3.54,100,adventure,None
2.95,16.0,Deadpool,ps4,3.69,100,action,adventure
2.99,79.53,Sword Art Online: Hollow Realization,ps4,4.07,200,role-playing,None
3.69,77.18,Digimon World: Next Order,ps4,4.08,200,role-playing,None
1.73,11.5,Batman: The Enemy Within - The Telltale Series,ps4,3.81,100,adventure,None
2.93,33.12,Rise of the Tomb Raider,ps4,4.05,200,action,adventure
2.91,18.7,Marvel's Spider-Man: Miles Morales,ps4,4.0,100,action,adventure
3.2,44.55,BlazBlue: Chrono Phantasma Extend,ps4,3.96,100,action,None
3.15,56.96,Final Fantasy Type-0 HD,ps4,3.75,1000,role-playing,None
3.15,76.65,Metal Gear Solid V: The Phantom Pain,ps4,4.25,1000,action,adventure
3.55,34.17,Ace Combat 7: Skies Unknown,ps4,4.01,200,simulation,None
2.89,57.13,NieR Replicant ver.1.22474487139...,ps4,4.23,200,role-playing,None
2.91,23.38,Gravity Rush Remastered,ps4,4.02,200,action,adventure
3.19,49.8,Battleborn,ps4,3.65,100,action,None
2.99,22.35,Knack 2,ps4,3.54,100,action,adventure
1.84,8.3,Everybody's Gone to the Rapture,ps4,3.21,200,adventure,None
3.05,57.52,Horizon Zero Dawn,ps4,4.26,1000,action,adventure
4.13,62.88,Bloodborne,ps4,4.45,1000,role-playing,None
3.39,42.7,Guilty Gear Xrd: Rev 2,ps4,4.17,100,action,None
2.93,68.28,DC Universe Online,ps4,3.25,200,role-playing,None
2.9,40.12,Tom Clancy's Ghost Recon: Breakpoint,ps4,2.7,100,action,adventure
3.16,63.59,Horizon Zero Dawn: Complete Edition,ps4,4.22,500,action,adventure
2.96,8.21,Little Nightmares,ps4,3.86,100,action,adventure
3.04,31.76,Resident Evil 5,ps4,3.95,200,action,adventure
3.05,77.19,Yakuza 5 Remastered,ps4,4.27,100,action,adventure
2.97,50.88,GreedFall,ps4,3.57,100,role-playing,None
2.98,75.61,The Elder Scrolls Online: Tamriel Unlimited,ps4,3.9,500,role-playing,None
2.83,59.48,World of Final Fantasy,ps4,4.0,500,role-playing,None
3.13,75.91,Tales of Arise,ps4,3.9,200,role-playing,None
3.43,41.15,God of War,ps4,4.38,1000,action,adventure
3.06,34.43,Resident Evil: Revelations 2,ps4,3.87,500,action,adventure
3.34,51.0,Valkyria Chronicles Remastered,ps4,4.28,200,strategy,None
2.91,57.79,FIFA 15,ps4,3.6,200,sports,None
3.23,75.73,SMITE,ps4,3.72,100,strategy,None
2.99,7.18,The Last of Us: Left Behind,ps4,3.97,200,action,adventure
2.76,34.65,Star Wars Battlefront II,ps4,2.76,500,action,None
3.1,77.59,MLB 15: The Show,ps4,4.06,100,sports,None
4.08,80.0,Elden Ring,ps4,4.22,200,role-playing,None
3.33,17.45,Resident Evil 7: biohazard - Gold Edition,ps4,4.06,100,action,adventure
3.04,50.17,WWE 2K16,ps4,3.66,200,sports,None
3.49,36.83,Evolve,ps4,3.11,200,action,None
3.16,69.86,Destiny: The Taken King - Legendary Edition,ps4,3.93,100,action,None
3.33,13.17,Sonic Mania Plus,ps4,4.26,100,action,None
1.6,11.26,The Wolf Among Us,ps4,4.15,200,adventure,None
2.71,6.71,The Vanishing of Ethan Carter,ps4,3.54,100,adventure,None
3.12,12.93,Overcooked!,ps4,3.8,100,action,None
4.3,38.58,Dead Cells,ps4,3.99,100,action,None
2.98,41.83,Call of Duty: Black Ops III,ps4,3.47,1000,action,None
3.54,35.31,Resident Evil: Origins Collection,ps4,4.27,100,miscellaneous,None
2.92,68.61,Yu-Gi-Oh! Legacy of the Duelist,ps4,4.12,200,strategy,None
3.09,80.0,Tales of Vesperia: Definitive Edition,ps4,4.28,500,role-playing,None
2.78,41.18,Saints Row IV: Re-Elected &amp; Gat Out of Hell,ps4,3.97,100,action,adventure
2.97,14.89,The Last Guardian,ps4,3.92,500,action,adventure
3.04,29.13,Gal*Gun: Double Peace,ps4,3.79,100,action,None
3.11,43.64,Hitman 2,ps4,4.02,100,action,adventure
2.54,64.17,No Man's Sky,ps4,3.26,1000,action,adventure
3.16,21.09,Injustice: Gods Among Us - Ultimate Edition,ps4,3.55,500,action,None
2.98,63.4,Yakuza 4 Remastered,ps4,3.93,100,action,adventure
3.54,63.0,Shin Megami Tensei III: Nocturne HD Remaster,ps4,3.49,100,role-playing,None
2.76,50.98,WWE 2K19,ps4,3.48,100,sports,None
2.97,80.0,The Legend of Heroes: Trails of Cold Steel,ps4,4.28,200,role-playing,None
3.2,16.68,Resident Evil 7: biohazard,ps4,3.99,1000,action,adventure
3.09,59.9,Everybody's Golf,ps4,3.97,200,sports,None
2.1,8.32,Grow Home,ps4,3.05,100,action,adventure
3.05,16.86,Resident Evil Village,ps4,4.12,100,action,adventure
2.63,33.21,Madden NFL 25,ps4,3.39,100,sports,None
3.47,9.37,Outlast,ps4,3.69,500,action,adventure
3.02,40.27,Berserk and the Band of the Hawk,ps4,3.73,100,action,None
2.92,26.0,Far Cry New Dawn,ps4,3.47,100,action,None
3.37,46.24,Guilty Gear Xrd -SIGN-,ps4,4.14,200,action,None
3.31,26.72,Control,ps4,3.79,200,action,adventure
3.02,58.9,Madden NFL 15,ps4,3.68,100,sports,None
3.16,22.82,Devil May Cry 5,ps4,4.14,500,action,adventure
1.52,14.28,Tales from the Borderlands: A Telltale Game Series,ps4,4.02,200,adventure,None
2.97,44.52,The Crew,ps4,3.59,200,racing,None
3.12,31.07,Dishonored: Definitive Edition,ps4,3.98,200,action,adventure
2.92,20.36,Persona 5: Dancing in Starlight,ps4,3.73,100,action,None
3.29,57.53,Battle Chasers: Nightwar,ps4,4.03,100,role-playing,None
3.79,73.14,Elite: Dangerous,ps4,4.09,100,simulation,None
3.28,22.77,Resident Evil: Revelations,ps4,3.88,100,action,adventure
3.15,76.73,Rock Band 4,ps4,3.78,100,action,None
3.65,17.61,The Legend of Korra,ps4,3.46,100,action,adventure
2.1,13.55,Murdered: Soul Suspect,ps4,3.28,200,action,adventure
2.94,80.0,The Legend of Heroes: Trails of Cold Steel IV,ps4,4.28,200,role-playing,None
2.56,41.7,LEGO Marvel Super Heroes 2,ps4,3.94,100,action,None
2.51,73.66,Super Robot Taisen V,ps4,4.29,100,strategy,None
3.21,48.83,Dissidia: Final Fantasy NT,ps4,3.47,200,action,None
3.86,78.29,Divinity: Original Sin Enhanced Edition,ps4,3.93,200,role-playing,None
2.88,31.17,Marvel vs. Capcom: Infinite,ps4,2.98,200,action,None
2.19,23.15,The LEGO Movie Videogame,ps4,3.69,100,action,adventure
3.04,37.01,Bloodstained: Ritual of the Night,ps4,4.26,500,action,None
2.84,23.22,Call of Duty: Infinite Warfare,ps4,3.17,200,action,None
2.93,50.78,Mad Max,ps4,3.76,500,action,adventure
1.87,20.4,Life is Strange 2,ps4,3.52,100,action,adventure
3.83,24.24,This War of Mine: The Little Ones,ps4,3.74,100,action,adventure
2.93,23.23,Tomb Raider: Definitive Edition,ps4,4.17,500,action,adventure
