difficulty,length,name,rating,platform,sales,type1,type2
4.37,67.73,Dark Souls III,4.29,xbox_one,500,role-playing,None
4.3,71.5,Dark Souls II: Scholar of the First Sin,4.29,xbox_one,200,role-playing,None
4.25,20.11,Cuphead,4.18,xbox_one,200,action,None
3.95,32.33,Alien: Isolation,3.94,xbox_one,100,action,adventure
3.77,66.29,Tom Clancy's Rainbow Six Siege,4.06,xbox_one,200,action,None
3.75,21.9,The Evil Within,3.73,xbox_one,200,action,adventure
3.73,31.62,Lords of the Fallen,3.15,xbox_one,100,role-playing,None
3.69,14.8,Ori and the Blind Forest,4.27,xbox_one,200,action,None
3.62,14.43,Outlast,3.74,xbox_one,100,action,adventure
3.61,80.0,Monster Hunter: World,4.29,xbox_one,200,role-playing,None
3.6,16.51,Resident Evil HD Remaster,4.2,xbox_one,100,action,adventure
3.59,56.52,Dragon Ball: Xenoverse,4.06,xbox_one,200,action,None
3.58,80.0,The Witcher 3: Wild Hunt,4.37,xbox_one,1000,role-playing,None
3.53,52.33,Dying Light,4.0,xbox_one,200,action,adventure
3.46,58.71,Rocket League,4.12,xbox_one,100,sports,None
3.42,72.89,Terraria,4.15,xbox_one,100,action,adventure
3.42,10.44,Metal Gear Solid V: Ground Zeroes,3.66,xbox_one,200,action,adventure
3.41,16.54,Ori and the Blind Forest: Definitive Edition,4.19,xbox_one,100,action,None
3.41,24.49,DOOM,4.17,xbox_one,200,action,None
3.4,60.05,Fortnite,3.3,xbox_one,100,action,None
3.38,23.0,Resident Evil 2,4.29,xbox_one,200,action,adventure
3.36,67.74,Rare Replay,4.16,xbox_one,200,miscellaneous,None
3.36,67.91,Halo: The Master Chief Collection,3.98,xbox_one,1000,miscellaneous,None
3.09,42.21,Call of Duty: Black Ops III,3.61,xbox_one,200,action,None
3.08,26.66,Call of Duty: WWII,3.23,xbox_one,100,action,None
3.07,42.22,Evolve,3.2,xbox_one,100,action,None
3.05,63.34,Destiny,3.75,xbox_one,1000,action,None
3.05,44.88,Battlefield 4,3.7,xbox_one,500,action,None
3.05,79.35,Fallout 4,4.29,xbox_one,1000,role-playing,None
3.04,21.71,Titanfall 2,4.08,xbox_one,200,action,None
3.04,52.43,State of Decay 2,3.58,xbox_one,200,action,adventure
3.04,56.93,Forza Motorsport 5,3.79,xbox_one,500,racing,None
3.03,47.53,Mad Max,3.83,xbox_one,100,action,adventure
3.03,65.72,Final Fantasy XV,3.93,xbox_one,200,role-playing,None
3.03,74.71,The Elder Scrolls Online: Tamriel Unlimited,3.97,xbox_one,500,role-playing,None
3.03,70.71,Forza Motorsport 6,4.27,xbox_one,200,racing,None
3.01,46.23,Assassin's Creed IV: Black Flag,4.01,xbox_one,500,action,adventure
3.36,18.82,Resident Evil 7: biohazard,4.05,xbox_one,100,action,adventure
3.35,13.8,Guacamelee! Super Turbo Championship Edition,3.79,xbox_one,100,action,None
3.34,75.21,Metal Gear Solid V: The Phantom Pain,4.27,xbox_one,200,action,adventure
3.33,55.9,State of Decay: Year One Survival Edition,3.97,xbox_one,100,action,adventure
3.0,59.4,Destiny 2,3.54,xbox_one,200,action,None
3.0,70.38,Forza Motorsport 7,3.92,xbox_one,100,racing,None
2.99,21.37,Thief,3.17,xbox_one,200,action,adventure
2.98,63.86,Grand Theft Auto V,4.31,xbox_one,500,action,adventure
2.98,70.44,Red Dead Redemption 2,4.23,xbox_one,500,action,adventure
2.98,43.94,Far Cry 4,4.06,xbox_one,200,action,None
2.98,34.25,Battlefield Hardline,3.45,xbox_one,200,action,None
2.97,68.53,Assassin's Creed Origins,4.12,xbox_one,200,action,adventure
2.97,26.59,Rise of the Tomb Raider,4.16,xbox_one,500,action,adventure
2.97,23.37,Tomb Raider: Definitive Edition,4.15,xbox_one,200,action,adventure
2.96,27.41,Gears 5,3.59,xbox_one,200,action,None
2.96,47.97,Far Cry 5,3.83,xbox_one,100,action,None
3.32,36.67,Killer Instinct,3.67,xbox_one,500,action,None
3.3,22.23,Wolfenstein: The New Order,3.93,xbox_one,200,action,None
3.29,27.57,Star Wars Jedi: Fallen Order,3.82,xbox_one,100,action,adventure
3.29,74.85,SMITE,3.85,xbox_one,100,strategy,None
3.28,59.19,Final Fantasy Type-0 HD,3.66,xbox_one,100,role-playing,None
3.28,29.41,Gears of War 4,3.87,xbox_one,200,action,None
3.23,32.59,Injustice 2,4.0,xbox_one,100,action,None
3.23,63.03,Warframe,3.67,xbox_one,100,action,None
3.22,34.39,Mortal Kombat X,4.14,xbox_one,200,action,None
3.21,62.65,Tom Clancy's The Division,3.7,xbox_one,200,action,None
3.21,80.0,Dragon Age: Inquisition,4.16,xbox_one,500,role-playing,None
2.96,28.02,Halo 5: Guardians,3.56,xbox_one,500,action,None
2.96,40.62,WWE 2K16,3.43,xbox_one,100,sports,None
2.95,34.95,Watch Dogs,3.68,xbox_one,200,action,adventure
2.94,72.22,Forza Horizon 3,4.29,xbox_one,200,racing,None
2.94,58.26,NBA 2K14,3.67,xbox_one,100,sports,None
2.93,43.89,Far Cry Primal,3.82,xbox_one,100,action,None
2.93,56.8,Forza Horizon 2,4.24,xbox_one,500,racing,None
2.93,80.0,The Elder Scrolls V: Skyrim Special Edition,4.33,xbox_one,500,role-playing,None
2.92,56.99,Plants vs Zombies: Garden Warfare,3.99,xbox_one,200,action,None
2.92,57.58,Fallout 76,2.58,xbox_one,200,role-playing,None
2.91,38.75,Star Wars Battlefront,3.34,xbox_one,200,action,None
2.91,11.28,Halo: Spartan Assault,2.87,xbox_one,100,action,None
2.9,42.18,Titanfall,3.76,xbox_one,500,action,None
3.2,80.0,Assassin's Creed Odyssey,4.11,xbox_one,100,action,adventure
3.17,22.06,Gears of War: Ultimate Edition,3.95,xbox_one,200,action,None
3.17,76.77,Borderlands: The Handsome Collection,4.31,xbox_one,200,miscellaneous,None
3.15,24.95,Rayman Legends,3.97,xbox_one,100,action,None
3.14,74.81,Grand Theft Auto Online,4.06,xbox_one,200,action,adventure
3.13,66.35,Overwatch,4.02,xbox_one,200,action,None
3.12,37.8,Middle-earth: Shadow of Mordor,4.06,xbox_one,200,action,adventure
3.12,76.36,Diablo III: Ultimate Evil Edition,4.25,xbox_one,200,role-playing,None
3.12,48.95,Dragon Ball: Xenoverse 2,4.14,xbox_one,200,action,None
2.89,32.0,Dead Rising 3,3.92,xbox_one,500,action,adventure
2.89,36.39,Sleeping Dogs: Definitive Edition,3.89,xbox_one,100,action,adventure
2.89,27.03,Sunset Overdrive,3.9,xbox_one,500,action,None
2.88,51.21,Madden NFL 15,3.45,xbox_one,100,sports,None
2.86,44.16,Assassin's Creed Syndicate,3.86,xbox_one,200,action,adventure
2.86,27.0,Call of Duty: Advanced Warfare,3.41,xbox_one,500,action,None
2.85,80.0,Neverwinter,3.73,xbox_one,200,role-playing,None
2.82,63.45,Mass Effect: Andromeda,3.5,xbox_one,200,role-playing,None
3.11,42.67,Battlefield 1,3.91,xbox_one,200,action,None
3.09,43.66,Assassin's Creed Unity,3.49,xbox_one,500,action,adventure
3.09,37.75,Batman: Arkham Knight,4.12,xbox_one,500,action,adventure
2.76,30.35,Call of Duty: Ghosts,2.97,xbox_one,200,action,None
2.75,71.01,Forza Horizon 4,4.19,xbox_one,200,racing,None
2.73,12.73,Ryse: Son of Rome,3.43,xbox_one,500,action,adventure
2.73,31.73,The Outer Worlds,3.85,xbox_one,100,role-playing,None
2.73,24.56,Child of Light,3.94,xbox_one,200,role-playing,None
2.73,55.22,Kingdom Hearts III,4.05,xbox_one,100,role-playing,None
2.71,55.44,Sea of Thieves,3.07,xbox_one,100,action,adventure
2.65,13.28,Quantum Break,3.27,xbox_one,200,action,None
2.61,71.31,Minecraft: Xbox One Edition,4.19,xbox_one,500,action,adventure
2.54,27.27,South Park: The Fractured But Whole,4.16,xbox_one,100,role-playing,None
2.51,31.06,Dead Rising 4,3.34,xbox_one,100,action,adventure
2.47,4.37,INSIDE,4.3,xbox_one,100,action,None
2.27,37.17,LEGO Marvel Super Heroes,3.8,xbox_one,200,action,adventure
1.95,15.69,The Walking Dead: A Telltale Games Series - The Complete First Season,4.18,xbox_one,100,adventure,None
1.71,13.33,Life is Strange,4.04,xbox_one,100,action,adventure
