difficulty,length,name,rating,platform,sales,type1,type2
3.43,80.0,The Legend of Zelda: Breath of the Wild,4.56,switch,1000,action,adventure
2.85,45.05,Super Mario Odyssey,4.5,switch,1000,action,None
3.67,59.36,Mega Man Legacy Collection + Mega Man Legacy Collection 2,4.42,switch,100,miscellaneous,None
3.32,73.78,Super Smash Bros. Ultimate,4.42,switch,1000,action,None
3.63,50.52,Mega Man X Legacy Collection,4.41,switch,100,miscellaneous,None
2.96,80.0,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,4.4,switch,1000,role-playing,None
3.64,46.41,Mega Man Zero / ZX Legacy Collection,4.39,switch,100,miscellaneous,None
3.0,79.94,Fire Emblem: Three Houses,4.38,switch,1000,strategy,None
3.63,58.94,Mega Man X Legacy Collection 1 + 2,4.38,switch,100,miscellaneous,None
3.06,80.0,Xenoblade Chronicles: Definitive Edition,4.35,switch,1000,role-playing,None
4.02,52.06,Hollow Knight,4.35,switch,1000,action,None
3.02,55.0,Final Fantasy VII,4.31,switch,200,role-playing,None
3.43,18.38,The Messenger,4.2,switch,100,action,None
2.75,48.39,Okami HD,4.19,switch,200,action,adventure
3.33,65.77,Collection of Mana,4.18,switch,200,miscellaneous,None
3.26,74.05,Hyrule Warriors: Definitive Edition,4.18,switch,500,action,None
3.1,60.9,Super Mario Maker 2,4.18,switch,500,action,None
3.09,63.34,Ys VIII: Lacrimosa of DANA,4.18,switch,200,role-playing,None
3.0,80.0,Digimon Story Cyber Sleuth: Complete Edition,4.18,switch,100,miscellaneous,None
3.28,77.86,Octopath Traveler,4.17,switch,500,role-playing,None
2.79,21.24,Kirby and the Forgotten Land,4.17,switch,200,action,None
2.94,48.95,Miitopia,4.17,switch,100,role-playing,None
3.28,35.36,Rayman Legends: Definitive Edition,4.16,switch,100,action,None
3.07,75.78,Final Fantasy XII: The Zodiac Age,4.16,switch,200,role-playing,None
4.42,75.22,The Binding of Isaac: Afterbirth +,4.15,switch,200,action,None
2.85,22.5,Luigi's Mansion 3,4.03,switch,200,action,adventure
3.21,46.07,Persona 5 Strikers,4.02,switch,100,role-playing,None
3.25,38.45,Mario + Rabbids: Kingdom Battle,4.02,switch,200,strategy,None
2.73,78.26,Stardew Valley,4.3,switch,1000,role-playing,None
3.01,28.04,Super Mario 3D World + Bowser's Fury,4.29,switch,1000,action,None
2.98,52.49,Mario Kart 8 Deluxe,4.29,switch,1000,racing,None
3.69,15.09,Metroid Dread,4.29,switch,1000,action,None
1.96,80.0,Animal Crossing: New Horizons,4.29,switch,1000,simulation,None
3.89,80.0,Monster Hunter Generations Ultimate,4.29,switch,1000,role-playing,None
3.67,44.44,Bayonetta + Bayonetta 2,4.29,switch,200,miscellaneous,None
3.66,65.6,Triangle Strategy,4.29,switch,100,strategy,None
2.79,80.0,Dragon Quest Builders 2,4.29,switch,1000,action,adventure
3.8,32.61,Shovel Knight: Treasure Trove,4.29,switch,500,action,None
4.24,61.42,Dark Souls Remastered,4.29,switch,500,role-playing,None
3.06,76.2,Monster Hunter Rise,4.28,switch,500,role-playing,None
3.12,15.61,Undertale,4.15,switch,500,role-playing,None
3.07,74.0,Tales of Vesperia: Definitive Edition,4.15,switch,500,role-playing,None
3.55,61.1,Valkyria Chronicles 4,4.15,switch,100,strategy,None
4.23,39.25,Dead Cells,4.15,switch,200,action,None
3.09,17.11,Katamari Damacy REROLL,4.01,switch,100,action,adventure
3.44,7.32,Bloodstained: Curse of the Moon,4.01,switch,200,action,None
3.17,11.18,Mighty Gunvolt Burst,4.0,switch,100,action,None
3.71,45.25,Puyo Puyo Tetris,4.0,switch,200,miscellaneous,None
